group,instance,path,model,status,wallTime,returncode,repeatRuns,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,flatTime,initTime,solveTime,intVariables,propagators,extractedViews,failures,restarts,peakDepth,cpPropagatorCalls,satSearchDirectives,userSearchDirectives,eagerLiterals,lazyLiterals
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,noc_bool,SAT,61.347031375044025,0,1,27356,16224,22257,21316,52.434,0.173164958,8.459322042,0,1,21316,1,0,7464,7464,0,7464,22264,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,noc_int,SAT,46.79073783301283,0,1,16583,11134,11127,16585,38.2324,0.109455083,8.249053208,0,1,16583,1,0,7464,7465,0,7464,11132,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,noc_bool,SAT,61.2420820830157,0,1,27356,16224,22257,21316,52.223,0.171255458,8.561352333,0,1,21316,1,0,7464,7464,0,7464,22264,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,noc_int,SAT,46.559108125045896,0,1,16583,11134,11127,16585,38.014,0.10908275,8.231604666,0,1,16583,1,0,7464,7465,0,7464,11132,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,noc_bool,SAT,0.21696702080080285,0,20,902.0,495.0,811.0,583.0,0.14362475,0.00564589175,0.015257072850000001,0.0,1.0,583.0,1.0,0.0,203.0,203.0,0.0,203.0,556.0,0.0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,noc_int,SAT,0.18481614370539318,0,20,635.0,411.0,408.0,637.0,0.11513165,0.0043737334000000004,0.01517223755,0.0,1.0,635.0,3.0,0.0,203.0,211.0,0.0,209.0,391.0,0.0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,noc_bool,SAT,97.62783075001789,0,1,24921,15719,18400,22236,35.8212,0.166695,61.355383958,0,1,22236,1,0,6192,6192,0,6192,18290,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,noc_int,SAT,95.42226083402056,0,1,13445,9204,9200,13447,111.559,0.097390041,63.745916208,0,1,13445,1,0,6192,6193,0,6192,9145,0
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,noc_bool,TIMEOUT,180.00599462498212,-999,1,,,,,,,,,,,,,,,,,,
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,noc_int,TIMEOUT,180.006785125006,-999,1,34255,22914,22901,34257,3290.59,0.236557375,,0,1,34255,,,,,,,,
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,noc_bool,TIMEOUT,180.00563404202694,-999,1,,,,,,,,,,,,,,,,,,
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,noc_int,TIMEOUT,180.0072615829995,-999,1,34255,22914,22901,34257,158.9,0.22701675,,0,1,34255,,,,,,,,
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,noc_bool,SAT,0.4881093186995713,0,20,1798.0,987.0,1617.0,1163.0,0.36124995000000004,0.01081685835,0.0606771125,0.0,1.0,1163.0,1.0,0.0,405.0,405.0,0.0,405.0,1140.0,0.0
equivchecking,ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,/Users/clarence/monash/Research/Codes/practice/tests/_converted_dzn/equivchecking/ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,noc_int,SAT,0.3745110624557128,0,20,1261.0,815.0,810.0,1263.0,0.25163075,0.00823929795,0.06158873335,0.0,1.0,1261.0,3.0,0.0,405.0,419.0,0.0,417.0,795.0,0.0
