file,chuffed_runtime,chuffed_status,chuffed_totalTime,chuffed_initTime,chuffed_solveTime,chuffed_propagations,chuffed_failures,chuffed_nodes
CABPdatasize=4_infinitely_often_receive_for_all_d.dzn,0.07285094261169434,UNSAT,0.053,0.053,0.0,1.0,1.0,1.0
SWPdatasize=2_windowsize=1_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.06503105163574219,SAT,0.051,0.042,0.009,1754.0,0.0,1754.0
Leadernparticipants=3_eventually-stable.dzn,0.11235499382019043,SAT,0.097,0.071,0.026,2633.0,0.0,2633.0
Lift_(Incorrect)nlifts=3_safety_2_2.dzn,0.19788074493408203,SAT,0.182,0.149,0.033,2827.0,0.0,2827.0
CABPdatasize=8_no_duplication_of_messages.dzn,0.38844895362854004,SAT,0.369,0.331,0.038,1647.0,0.0,1647.0
Lift_(Incorrect)nlifts=4_safety_2_1.dzn,22.14827585220337,SAT,22.049,5.878,16.171,42469.0,0.0,42469.0
CABPdatasize=8_infinitely_often_receive_d1.dzn,0.05867791175842285,UNSAT,0.039,0.039,0.0,1.0,1.0,1.0
Pardatasize=8_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.4674408435821533,SAT,0.446,0.222,0.224,8757.0,0.0,8757.0
SWPdatasize=2_windowsize=3_infinitely_often_read_write.dzn,133.7525339126587,SAT,133.558,13.469,120.089,208135.0,0.0,208135.0
SWPdatasize=4_windowsize=1_infinitely_often_enabled_then_infinitely_often_taken.dzn,0.9368159770965576,SAT,0.912,0.416,0.496,11112.0,0.0,11112.0
Lift_(Incorrect)nlifts=2_safety_1.dzn,0.026180028915405273,SAT,0.01,0.009,0.001,210.0,0.0,210.0
Lift_(Correct)nlifts=2_liveness_1_1.dzn,0.025907039642333984,SAT,0.009,0.007,0.002,226.0,0.0,226.0
Elevatorpolicy=LIFO_storeys=3_always_if_max_floor_requested_eventually_at_max_floor.dzn,0.019893884658813477,SAT,0.0,0.0,0.0,11.0,0.0,11.0
Onebitdatasize=3_message_can_be_lost_infinitely_often.dzn,13.450473308563232,UNSAT,13.243,13.243,0.0,1.0,1.0,1.0
ABP(BW)datasize=2_infinitely_often_receive_d1.dzn,0.018977880477905273,SAT,0.002,0.001,0.001,42.0,0.0,42.0
Lift_(Correct)nlifts=3_liveness_2_1.dzn,0.18854284286499023,SAT,0.165,0.106,0.059,2173.0,0.0,2173.0
Pardatasize=2_invariantly_infinitely_many_reachable_taus.dzn,0.020094871520996094,SAT,0.004,0.004,0.0,181.0,0.0,181.0
SWPdatasize=4_windowsize=1_infinitely_often_read_write.dzn,0.06594705581665039,SAT,0.045,0.039,0.006,1306.0,0.0,1306.0
