file,chuffed_time,chuffed_totalTime,chuffed_propagations,chuffed_failures,noc_bool_time,noc_bool_totalTime,noc_bool_conflicts,noc_int_time,noc_int_totalTime,noc_int_conflicts,noc_int_eagerLits,noc_int_lazyLits,noc_int_cpCalls,lazy_default_time,lazy_default_totalTime,lazy_default_conflicts,lazy_default_cpCalls,lazy_custom_time,lazy_custom_totalTime,lazy_custom_conflicts,lazy_custom_cpCalls,eager_default_time,eager_default_totalTime,eager_default_conflicts,eager_default_cpCalls,eager_custom_time,eager_custom_totalTime,eager_custom_conflicts,eager_custom_cpCalls,balanced_custom_time,balanced_custom_totalTime,balanced_custom_conflicts,balanced_custom_cpCalls,chuffed_status,eager_custom_status,eager_default_status,balanced_custom_status,lazy_custom_status,noc_int_status,noc_bool_status,lazy_default_status
ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.21240381,0.128,832,0,0.145627773,0.082608583,1,0.114265728,0.06449675,1,11132,0,824,0.108191228,0.06626125,1,824,14.23079014,14.20626154,1,7465,0.116276205,0.089580917,1,824,14.26113105,14.23730708,1,7465,14.3513689,14.32715363,1,7465,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,0.210850358,0.121,832,0,0.143682683,0.08431725,1,0.112919462,0.061584458,1,11132,0,824,0.107062435,0.059906958,1,824,14.04903984,14.02504367,1,7465,0.118584085,0.084462083,1,824,14.04235005,14.01866963,1,7465,14.22362399,14.19635117,1,7465,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.021765316,0.005,122,0,0.013584864,0.002356375,1,0.013227046,0.002343958,1,391,0,98,0.015912664,0.001563083,1,98,0.030818534,0.019524708,3,211,0.013982916,0.002309125,1,98,0.030611885,0.019315,3,211,0.031095707,0.019792292,3,211,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,0.187356389,0.111,627,0,0.180881166,0.104160167,1,0.140117812,0.1114625,1,9145,0,555,0.142462873,0.085633375,1,555,87.88239837,87.85913942,1,6193,0.145401001,0.120409084,1,555,90.37417507,90.35169092,1,6193,89.77753925,89.75312463,1,6193,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.465133131,0.415,1662,0,0.464075208,0.420461,1,0.363935411,0.363775125,1,22912,0,1646,0.387847638,0.332093417,1,1646,63.48930216,63.47063858,1,15199,0.384678006,0.338737458,1,1646,62.90005612,62.86628613,1,15199,62.80331182,62.76476392,1,15199,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,0.461549854,0.313,1662,0,0.462649333,0.430264083,1,0.361314726,0.348027375,1,22912,0,1646,0.371958482,0.253960167,1,1646,62.96598291,62.93105967,1,15199,0.387113059,0.341444041,1,1646,63.60921979,63.57248438,1,15199,62.88139868,62.83824092,1,15199,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.023281538,0.009,196,0,0.015888691,0.004163917,1,0.016202772,0.00272775,1,795,0,168,0.016073048,0.002916875,1,168,0.1079229,0.071288417,3,419,0.017013836,0.004483375,1,168,0.111639619,0.067016041,3,419,0.118324888,0.10773925,3,419,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_ABP(BW)_(datasize=4_capacity=1_windowsize=1)eq=weak-bisim.dzn,0.389358616,0.388,1057,0,0.399629927,0.37961025,1,0.322882485,0.31702075,1,18985,0,979,0.339617836,0.323160125,1,979,180,,,,0.342706954,0.322561541,1,979,180,,,,180,,,,SAT,TIMEOUT,SAT,TIMEOUT,TIMEOUT,SAT,SAT,SAT
ABP(BW)_CABP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,1.485864401,0.885,1,1,0.120259833,0.035870916,1,0.341796124,0.231909292,1,,,,0.346666396,0.254233208,1,,0.345576,0.265123916,1,,0.345833504,0.282524167,1,,0.344922984,0.258418834,1,,0.349647856,0.262505959,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_CABP_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,1.466735125,1.435,1,1,0.122518539,0.044119833,1,0.339296067,0.273066959,1,,,,0.340004516,0.246583875,1,,0.346650791,0.271030959,1,,0.350862467,0.263289833,1,,0.34346956,0.2684125,1,,0.339361989,0.260735041,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
