trial_id,score,mean_time,median_time,solved,timeouts,errors,mismatches,options_json
1,405.34255572708787,226.71277863543946,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 0, ""elim"": 1, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 0, ""phase"": 0, ""probe"": 0, ""probeint"": 10000, ""reduce"": 0, ""reduceint"": 500, ""reducetarget"": 75, ""rephase"": 0, ""rephaseint"": 1000, ""restart"": 0, ""restartint"": 32, ""restartmargin"": 30, ""scorefactor"": 800, ""stabilize"": 1, ""stabilizefactor"": 300, ""stabilizeonly"": 1, ""subsume"": 0, ""target"": 1, ""ternary"": 1, ""transred"": 1, ""vivify"": 1, ""walk"": 1}"
2,405.42128536196253,227.10642680981255,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 1000, ""reduce"": 0, ""reduceint"": 500, ""reducetarget"": 60, ""rephase"": 0, ""rephaseint"": 300, ""restart"": 0, ""restartint"": 2, ""restartmargin"": 5, ""scorefactor"": 995, ""stabilize"": 1, ""stabilizefactor"": 500, ""stabilizeonly"": 0, ""subsume"": 1, ""target"": 1, ""ternary"": 1, ""transred"": 0, ""vivify"": 0, ""walk"": 1}"
3,405.4099547390739,227.04977369536937,300.0,4,12,0,0,"{""chrono"": 2, ""compact"": 0, ""elim"": 1, ""forcephase"": 1, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 0, ""probe"": 0, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 50, ""reducetarget"": 95, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 32, ""restartmargin"": 30, ""scorefactor"": 800, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 0, ""target"": 2, ""ternary"": 0, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
4,405.4018510828246,227.0092554141229,300.0,4,12,0,0,"{""chrono"": 2, ""compact"": 0, ""elim"": 0, ""forcephase"": 1, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 0, ""probe"": 0, ""probeint"": 10000, ""reduce"": 0, ""reduceint"": 50, ""reducetarget"": 75, ""rephase"": 0, ""rephaseint"": 300, ""restart"": 1, ""restartint"": 256, ""restartmargin"": 30, ""scorefactor"": 950, ""stabilize"": 1, ""stabilizefactor"": 200, ""stabilizeonly"": 0, ""subsume"": 0, ""target"": 2, ""ternary"": 0, ""transred"": 0, ""vivify"": 1, ""walk"": 1}"
5,405.4547206140516,227.2736030702581,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 0, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 0, ""probe"": 0, ""probeint"": 10000, ""reduce"": 1, ""reduceint"": 100, ""reducetarget"": 50, ""rephase"": 0, ""rephaseint"": 10000, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 980, ""stabilize"": 0, ""stabilizefactor"": 120, ""stabilizeonly"": 1, ""subsume"": 0, ""target"": 0, ""ternary"": 0, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
6,405.3375763166754,226.68788158337702,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 100, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
7,405.3743362453009,226.87168122650473,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 1, ""forcephase"": 1, ""ilb"": 0, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 0, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 1000, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 1, ""restartint"": 4, ""restartmargin"": 20, ""scorefactor"": 800, ""stabilize"": 0, ""stabilizefactor"": 150, ""stabilizeonly"": 1, ""subsume"": 0, ""target"": 0, ""ternary"": 0, ""transred"": 0, ""vivify"": 1, ""walk"": 1}"
8,405.40460049478713,227.02300247393578,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 1, ""forcephase"": 1, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 0, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 300, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 1, ""restartint"": 2, ""restartmargin"": 10, ""scorefactor"": 800, ""stabilize"": 1, ""stabilizefactor"": 200, ""stabilizeonly"": 0, ""subsume"": 0, ""target"": 2, ""ternary"": 0, ""transred"": 1, ""vivify"": 0, ""walk"": 1}"
9,405.4640433307242,227.32021665362117,300.0,4,12,0,0,"{""chrono"": 2, ""compact"": 1, ""elim"": 1, ""forcephase"": 1, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 1, ""reduceint"": 100, ""reducetarget"": 50, ""rephase"": 0, ""rephaseint"": 100, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 150, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 1, ""ternary"": 1, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
10,405.40228385258814,227.01141926294076,300.0,4,12,0,0,"{""chrono"": 2, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 0, ""inprocessing"": 1, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 50000, ""reduce"": 0, ""reduceint"": 200, ""reducetarget"": 50, ""rephase"": 1, ""rephaseint"": 100, ""restart"": 1, ""restartint"": 64, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 500, ""stabilizeonly"": 0, ""subsume"": 1, ""target"": 1, ""ternary"": 0, ""transred"": 1, ""vivify"": 1, ""walk"": 0}"
